group,qid,category,O,C_sys,C_human,S_score,dE_sys,pred,residual,FP,FN
HA28,q001,ugh_theory,1.0,0.6667,0.0,0.375,0.2974,3.8104,-2.8104,2,0
HA28,q003,ugh_theory,2.0,0.3333,0.333,0.625,0.2419,4.0324,-2.0324,0,0
HA28,q005,technical_ai,4.0,0.6667,0.667,1.0,0.037,4.852,-0.852,0,0
HA20,q009,ai_philosophy,5.0,1.0,1.0,1.0,0.0,5.0,0.0,0,0
HA28,q010,ai_philosophy,2.0,1.0,0.667,1.0,0.0,5.0,-3.0,1,0
HA20,q012,ai_philosophy,3.0,0.6667,0.3333,1.0,0.037,4.852,-1.852,1,0
HA20,q015,ai_ethics,2.0,0.3333,0.3333,1.0,0.1482,4.4072,-2.4072,0,0
HA28,q017,epistemology,4.0,0.3333,1.0,1.0,0.1482,4.4072,-0.4072,0,2
HA20,q019,epistemology,4.0,0.6667,0.6667,1.0,0.037,4.852,-0.852,0,0
HA20,q024,ugh_theory,2.0,0.6667,0.0,0.875,0.0474,4.8104,-2.8104,2,0
HA20,q025,ugh_theory,3.0,0.6667,0.3333,0.9375,0.0396,4.8416,-1.8416,1,0
HA28,q026,ugh_theory,1.0,0.3333,0.0,0.25,0.5232,2.9072,-1.9072,1,0
HA20,q032,ugh_theory,1.0,1.0,0.0,0.375,0.2604,3.9584,-2.9584,3,0
HA20,q033,ugh_theory,3.0,1.0,0.6667,0.6875,0.0651,4.7396,-1.7396,1,0
HA28,q034,ugh_theory,4.0,0.6667,0.667,0.625,0.1308,4.4768,-0.4768,0,0
HA20,q037,technical_ai,3.0,0.6667,0.3333,1.0,0.037,4.852,-1.852,1,0
HA28,q041,technical_ai,4.0,0.5,0.5,0.8125,0.1068,4.5728,-0.5728,0,0
HA28,q042,technical_ai,2.0,0.6667,0.0,1.0,0.037,4.852,-2.852,2,0
HA20,q044,technical_ai,3.0,0.6667,0.3333,1.0,0.037,4.852,-1.852,1,0
HA20,q049,technical_ai,4.0,1.0,1.0,1.0,0.0,5.0,-1.0,0,0
HA28,q050,technical_ai,4.0,0.6667,0.667,1.0,0.037,4.852,-0.852,0,0
HA28,q053,ai_philosophy,2.0,1.0,0.333,1.0,0.0,5.0,-3.0,2,0
HA28,q055,ai_philosophy,4.0,1.0,0.75,0.875,0.0104,4.9584,-0.9584,1,0
HA28,q058,ai_philosophy,3.0,1.0,0.667,1.0,0.0,5.0,-2.0,1,0
HA20,q061,ai_philosophy,4.0,0.6667,0.6667,1.0,0.037,4.852,-0.852,0,0
HA28,q062,ai_philosophy,2.0,0.3333,0.333,1.0,0.1482,4.4072,-2.4072,0,0
HA20,q063,ai_philosophy,5.0,1.0,1.0,1.0,0.0,5.0,0.0,0,0
HA28,q064,ai_philosophy,2.0,0.3333,0.333,0.9375,0.1508,4.3968,-2.3968,0,0
HA28,q066,ai_ethics,2.0,0.6667,0.333,1.0,0.037,4.852,-2.852,1,0
HA28,q067,ai_ethics,2.0,0.3333,0.333,0.9375,0.1508,4.3968,-2.3968,0,0
HA20,q069,ai_ethics,3.0,0.6667,0.3333,1.0,0.037,4.852,-1.852,1,0
HA20,q071,ai_ethics,4.0,0.6667,0.6667,1.0,0.037,4.852,-0.852,0,0
HA28,q072,ai_ethics,4.0,1.0,0.667,0.875,0.0104,4.9584,-0.9584,1,0
HA28,q074,ai_ethics,3.0,0.6667,0.667,1.0,0.037,4.852,-1.852,0,0
HA20,q075,ai_ethics,4.0,1.0,1.0,1.0,0.0,5.0,-1.0,0,0
HA20,q080,epistemology,4.0,1.0,1.0,1.0,0.0,5.0,-1.0,0,0
HA28,q081,epistemology,4.0,1.0,0.667,0.9375,0.0026,4.9896,-0.9896,1,0
HA20,q083,epistemology,5.0,1.0,1.0,1.0,0.0,5.0,0.0,0,0
HA28,q086,epistemology,2.0,0.6667,0.333,1.0,0.037,4.852,-2.852,1,0
HA28,q087,epistemology,3.0,0.6667,0.667,0.875,0.0474,4.8104,-1.8104,0,0
HA28,q088,epistemology,4.0,0.6667,1.0,0.9375,0.0396,4.8416,-0.8416,0,1
HA28,q092,adversarial,4.0,0.6667,1.0,1.0,0.037,4.852,-0.852,0,1
HA28,q093,adversarial,2.0,0.3333,0.333,0.9375,0.1508,4.3968,-2.3968,0,0
HA28,q094,adversarial,3.0,1.0,0.667,1.0,0.0,5.0,-2.0,1,0
HA20,q095,adversarial,2.0,0.3333,0.3333,0.75,0.1898,4.2408,-2.2408,0,0
HA28,q096,adversarial,3.0,0.6667,0.667,1.0,0.037,4.852,-1.852,0,0
HA28,q099,adversarial,2.0,0.6667,0.0,0.75,0.0787,4.6852,-2.6852,2,0
HA20,q100,adversarial,4.0,0.3333,0.6667,0.9375,0.1508,4.3968,-0.3968,0,1
