tau_collapse_high,tau_anchor_low,rho_accept_subset,rho_primary_full,rho_advisory_full,fire_rate,low_quality_recall,single_rule_fire_ratio,n_accept,n_full,n_fire,loo_rho_mean,loo_shrinkage
0.50,0.10,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.50,0.15,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.50,0.20,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.50,0.25,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.50,0.30,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.50,0.35,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.50,0.40,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.50,0.45,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.50,0.50,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.55,0.10,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.55,0.15,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.55,0.20,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.55,0.25,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.55,0.30,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.55,0.35,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.55,0.40,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.55,0.45,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.55,0.50,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.60,0.10,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.60,0.15,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.60,0.20,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.60,0.25,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.60,0.30,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.60,0.35,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.60,0.40,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.60,0.45,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.60,0.50,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.65,0.10,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.65,0.15,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.65,0.20,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.65,0.25,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.65,0.30,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.65,0.35,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.65,0.40,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.65,0.45,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.65,0.50,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.70,0.10,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.70,0.15,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.70,0.20,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.70,0.25,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.70,0.30,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.70,0.35,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.70,0.40,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.70,0.45,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.70,0.50,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.75,0.10,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.75,0.15,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.75,0.20,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.75,0.25,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.75,0.30,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.75,0.35,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.75,0.40,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.75,0.45,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
0.75,0.50,,0.5004,0.5004,0.0000,0.0000,0.0000,13,48,0,,
