excluded_id,excluded_human_score,rho_i,p_i,abs_rho_drop
q009,5.0,-0.748,0.000231,0.0257
q012,3.0,-0.791,5.5e-05,-0.0173
q015,2.0,-0.7593,0.000163,0.0144
q019,4.0,-0.7771,9.1e-05,-0.0033
q024,2.0,-0.7358,0.00033,0.038
q025,3.0,-0.7682,0.000122,0.0055
q032,1.0,-0.7325,0.000362,0.0412
q033,3.0,-0.7682,0.000122,0.0055
q037,3.0,-0.791,5.5e-05,-0.0173
q044,3.0,-0.791,5.5e-05,-0.0173
q049,4.0,-0.7809,7.9e-05,-0.0072
q061,4.0,-0.7771,9.1e-05,-0.0033
q063,5.0,-0.748,0.000231,0.0257
q069,3.0,-0.7717,0.000109,0.0021
q071,4.0,-0.7771,9.1e-05,-0.0033
q075,4.0,-0.7771,9.1e-05,-0.0033
q080,4.0,-0.7809,7.9e-05,-0.0072
q083,5.0,-0.797,4.4e-05,-0.0232
q095,2.0,-0.7358,0.00033,0.038
q100,4.0,-0.8543,3e-06,-0.0806
