metric,value,note
rho_full,-0.5179,全20件
p_full,0.019329,
rho_loo_mean,-0.5176,20 fold 平均
|rho|_loo_mean,0.5176,絶対値平均
rho_loo_std,0.0584,
|rho|_loo_std,0.0584,絶対値の標準偏差
|rho|_loo_min,0.4643,除外: q009
|rho|_loo_max,0.7325,除外: q032
|rho|_max_drop,0.0536,|ρ_full| - |ρ_loo_min|
influential_count,0,|ρ_i| < mean-2σ
stability,不安定,ρ_loo_std ≥ 0.05 または |ρ|_loo_min ≤ 0.80 → 特定ケース依存の疑い
,,
Model_C_prime_rho_full,0.8292,既知参考値
Model_C_prime_rho_loo,0.8018,既知参考値
Model_C_prime_drop,0.0274,
delta_e_A_rho_full,0.5179,|ρ|
delta_e_A_rho_loo_mean,0.5176,|ρ| 平均
delta_e_A_drop,0.0003,|ρ_full| - |ρ_loo_mean|
