id,human_score,human_hit_rate,system_hit_rate,fail_max,f3_flag,f4_flag,delta_e_full,por
q024,2.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.2347,0.9009
q075,4.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.183,0.8775
q009,5.0,1.0,1.0,0.0,0.0,0.0,0.1938,0.8829
q080,4.0,1.0,1.0,0.0,0.0,0.0,0.1806,0.8425
q037,3.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.2094,0.8623
q100,4.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.5,0.3633,0.8882
q015,2.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3588,0.8495
q012,3.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.5395,0.8679
q049,4.0,1.0,1.0,0.0,0.0,0.0,0.2942,0.8666
q033,3.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.2856,0.8375
q071,4.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.1947,0.7672
q061,4.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.2059,0.7885
q083,5.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.1653,0.7883
q025,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.0,0.1859,0.8184
q095,2.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.2285,0.803
q032,1.0,0.0,1.0,1.0,0.0,0.0,0.4204,0.7587
q044,3.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3649,0.7513
q019,4.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3933,0.7848
q069,3.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3744,0.7885
q063,5.0,1.0,1.0,0.0,0.0,0.0,0.3477,0.7841
